Country,OBI (2010),OBI (2012),OBI (2015),OBI (2016),ATI (2010),ATI (2014),ATI (2015),ATI (2016),AD (2009),AD (2012),AD (2015),AD (2016),CL (2010),CL (2011),CL (2012),CL (2013),CL (2014),CL (2016),Score 2011,Score 2012,Score 2013,Score 2014,Score 2015,Score 2016,2011 Pts Possible,2012 Pts Possible,2013 Pts Possible,2014 Pts Possible,2015 Pts Possible,2016 Pts Possible,2011 Share of Total,2012 Share of Total,2013 Share of Total,2014 Share of Total,2015 Share of Total,2016 Share of Total,OBI Exec Budget (2015),OBI Audit Report (2015),OBI Exec Budget (2016),OBI Audit Report (2016,ATI Law Status (2015),ATI Law Status (2016),AD 2009 (Elected),AD Appntd (2009),AD 2012 (Elected),AD 2012 (Appnt),AD 2015 (Law),AD 2015 (Public),AD 2016 (Law),AD 2016 (Public),EIU CL (2010) ,EIU CL (2011),EIU CL (2012) ,EIU CL (2013),EIU CL (2014) ,EIU CL (2016),OGP Participating Country?
Italy,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.53,8.53,8.53,8.53,8.53,8.53,Yes
Jamaica,ND,ND,ND,ND,4,4,4,4,3,2,2,2,4,4,4,4,4,4,11,11,10,10,10,10,12,12,12,12,12,12,92%,92%,83%,83%,83%,83%,ND,ND,ND,ND,Law,Law,congress,public,Yes,No,Yes,No,Yes,No,8.82,8.82,9.12,9.12,9.12,9.12,Yes
Japan,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,ND,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,8.82,No
Jordan,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,16,16,16,16,16,16,75%,75%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,3.82,3.82,3.53,3.53,3.53,3.24,Yes
Kazakhstan,4,4,4,4,0,3,4,4,2,2,2,2,3,3,2,2,2,2,9,9,11,11,12,12,16,16,16,16,16,16,56%,56%,69%,69%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,5.29,5,4.41,4.41,4.41,3.82,No
Kenya,4,4,4,4,3,3,3,4,2,4,4,4,3,3,3,3,3,3,12,12,14,14,14,15,16,16,16,16,16,16,75%,75%,88%,88%,88%,94%,Yes,Yes,Yes,Yes,Constitutional right,Law,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,5.29,5.29,5.29,5.29,5.29,5,Yes
Kiribati,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,none,none,No,No,No,No,No,No,ND,ND,ND,ND,ND,ND,No
"Korea, Democratic People's Republic of",ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,8%,8%,8%,8%,8%,8%,ND,ND,ND,ND,None,None,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,No
"Korea, Republic of",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,15,15,16,16,16,16,16,16,16,16,16,16,94%,94%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public ,ND,Yes,Yes,Yes,Yes,Yes,Yes,8.82,8.53,8.53,8.53,8.53,8.24,Yes
Kuwait,ND,ND,ND,ND,1,1,1,1,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,12,12,12,12,12,12,25%,25%,25%,25%,25%,25%,ND,ND,ND,ND,Draft law,Draft law,none,none,No,No,No,No,No,No,3.82,3.53,3.53,3.53,3.53,3.53,No
Kyrgyzstan,0,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,11,11,15,15,15,15,16,16,16,16,16,16,69%,69%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,5.29,5.29,5.29,5.29,5.29,5,No
Laos,ND,ND,ND,ND,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,12,12,12,12,12,12,8%,8%,25%,25%,25%,25%,ND,ND,ND,ND,None,None,none,none,Yes,No,Yes,No,Yes,No,1.18,1.18,1.18,1.18,1.18,1.47,No
Latvia,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,8.82,Yes
Lebanon,2,2,0,0,0,1,1,4,2,2,2,2,3,3,3,3,3,3,7,7,8,8,6,9,16,16,16,16,16,16,44%,44%,50%,50%,38%,56%,No,No,No,No,Draft law,Draft law,congress,nonpublic,Yes,No,Yes,No,Yes,No,5.59,5.59,5.59,5.59,5.59,5.59,No
Lesotho,ND,ND,ND,ND,1,1,1,1,0,2,2,2,3,3,3,3,3,3,4,4,6,6,6,6,12,12,12,12,12,12,33%,33%,50%,50%,50%,50%,ND,ND,ND,ND,Draft law,Draft law,none,none,Yes,No,Yes,No,Yes,No,6.76,6.76,7.06,7.06,7.06,7.06,No
Liberia,4,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,15,15,13,13,13,13,16,16,16,16,16,16,94%,94%,81%,81%,81%,81%,Yes,No,Yes,No,Law,Law,public****,public,Yes,Yes,Yes,Yes,Yes,Yes,6.18,6.18,5.59,5.59,5.59,5.59,Yes
Libya,ND,ND,ND,ND,0,0,0,0,0,ND,ND,ND,1,3,3,3,3,2,1,3,3,3,3,2,12,12,12,12,12,12,8%,25%,25%,25%,25%,17%,ND,ND,ND,ND,None,None,ND,none,ND,ND,ND,ND,ND,ND,1.47,5.29,5.59,5.59,5.29,2.94,No
Liechtenstein,ND,ND,ND,ND,ND,ND,4,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,4,4,12,12,12,12,12,12,0%,0%,0%,0%,33%,33%,ND,ND,ND,ND,Law,Law,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Lithuania,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.71,9.71,9.71,Yes
Luxembourg,4,ND,ND,ND,1,1,1,1,3,4,4,4,4,4,4,4,4,4,12,12,9,9,9,9,16,16,12,12,12,12,75%,75%,75%,75%,75%,75%,ND,ND,ND,ND,Draft law,Draft law,public,none,Yes,Yes,Yes,Yes,Yes,Yes,9.71,9.71,9.71,9.71,9.71,9.71,Yes
Macedonia,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,15,15,16,16,16,15,16,16,16,16,16,16,94%,94%,100%,100%,100%,94%,Yes,Yes,Yes,Yes,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,7.94,7.94,7.94,7.94,7.65,6.18,Yes
Madagascar,ND,ND,ND,ND,1,3,3,3,2,2,2,2,2,2,2,3,2,2,5,5,7,8,7,7,12,12,12,12,12,12,42%,42%,58%,67%,58%,58%,ND,ND,ND,ND,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,4.71,4.71,4.71,5,4.71,4.71,No
Malawi,2,4,2,2,3,3,3,3,2,4,4,4,3,3,3,3,3,3,10,10,14,14,12,12,16,16,16,16,16,16,63%,63%,88%,88%,75%,75%,Yes,No,Yes,No,Constitutional right,Constitutional right,none,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,5.88,5.29,5.88,6.18,6.18,6.18,Yes
Malaysia,4,4,4,4,1,1,1,1,2,2,2,2,3,3,3,3,3,3,10,10,10,10,10,10,16,16,16,16,16,16,63%,63%,63%,63%,63%,63%,Yes,Yes,Yes,Yes,Draft law,Draft law,none,nonpublic,Yes,No,Yes,No,Yes,No,5.88,5.88,5.88,5.88,5.88,5.59,No
Maldives,ND,ND,ND,ND,1,1,4,4,0,2,2,2,ND,ND,ND,ND,ND,ND,1,1,3,3,6,6,12,12,12,12,12,12,8%,8%,25%,25%,50%,50%,ND,ND,ND,ND,Law,Law,none,none,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Mali,2,2,2,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,7,7,7,7,7,5,16,16,16,16,16,16,44%,44%,44%,44%,44%,31%,Yes,No,No,No,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,5.88,7.06,6.47,6.47,6.47,6.47,No
Malta,ND,ND,ND,ND,4,4,4,4,3,2,2,2,4,4,4,4,4,4,11,11,10,10,10,10,12,12,12,12,12,12,92%,92%,83%,83%,83%,83%,ND,ND,ND,ND,Law,Law,public*******,nonpublic*******,Yes,No,Yes,No,Yes,No,9.71,9.71,9.71,9.71,9.71,9.71,Yes
Marshall Islands,ND,ND,ND,ND,ND,ND,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,3,0,0,0,0,12,12,12,12,12,12,25%,25%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,public,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Mauritania,ND,ND,ND,ND,0,0,0,0,0,2,2,2,3,3,3,3,3,2,3,3,5,5,5,4,12,12,12,12,12,12,25%,25%,42%,42%,42%,33%,ND,ND,ND,ND,None,None,none,none,Yes,No,Yes,No,Yes,No,5,5,5,5,5,4.41,No
Mauritius,4,ND,4,4,0,0,0,0,2,2,2,2,4,4,4,4,4,4,10,10,6,6,10,10,16,16,12,12,16,16,63%,63%,50%,50%,63%,63%,Yes,Yes,Yes,Yes,None,None,congress,none,Yes,No,Yes,No,Yes,No,9.71,9.71,9.71,9.71,9.71,9.71,No
Mexico,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,3,14,14,15,15,15,15,16,16,16,16,16,16,88%,88%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,7.65,7.65,7.35,7.35,7.35,6.76,Yes
Moldova,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,3,12,12,12,12,12,11,12,12,12,12,12,12,100%,100%,100%,100%,100%,92%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.94,7.94,7.94,7.94,7.94,7.35,Yes
Monaco,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Mongolia,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,16,16,16,16,16,16,16,16,16,16,81%,81%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,8.24,8.24,8.24,8.24,Yes
Montenegro,ND,ND,ND,ND,4,4,4,4,4,4,4,4,3,3,3,3,3,3,11,11,11,11,11,11,12,12,12,12,12,12,92%,92%,92%,92%,92%,92%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.06,7.06,7.06,7.06,7.06,6.76,Yes
Morocco,2,4,4,4,0,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,11,11,11,11,16,16,16,16,16,16,38%,38%,69%,69%,69%,69%,Yes,Yes,Yes,Yes,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,4.12,4.41,4.41,4.41,4.41,4.41,No
Mozambique,4,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,11,11,12,12,12,12,16,16,16,16,16,16,69%,69%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,3.82,3.82,4.12,4.12,4.12,3.53,No
Myanmar,ND,0,0,0,0,0,0,0,0,ND,ND,ND,1,1,1,1,1,2,1,1,1,1,1,2,12,12,16,16,16,16,8%,8%,6%,6%,6%,13%,No,No,No,No,None,None,ND,none,ND,ND,ND,ND,ND,ND,0.88,0.88,1.18,1.76,2.06,2.94,No
Namibia,4,4,4,2,0,0,0,0,2,4,4,4,4,4,4,4,4,4,10,10,12,12,12,10,16,16,16,16,16,16,63%,63%,75%,75%,75%,63%,Yes,Yes,Yes,No,None,None,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,8.24,8.24,8.24,8.24,No
Nepal,4,4,4,2,4,4,4,4,2,2,2,2,3,3,3,3,3,3,13,13,13,13,13,11,16,16,16,16,16,16,81%,81%,81%,81%,81%,69%,Yes,Yes,No,Yes,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,5.29,5.59,5.59,5.59,5.59,5.59,No
Netherlands,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,9.41,Yes
New Zealand,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,10,Yes
Nicaragua,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,14,14,15,15,15,15,16,16,16,16,16,16,88%,88%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,7.35,7.35,7.35,7.06,7.06,6.76,No
Niger,0,2,2,0,0,4,4,4,2,2,2,4,2,3,3,3,2,2,4,5,11,11,10,10,16,16,16,16,16,16,25%,31%,69%,69%,63%,63%,Yes,No,No,No,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,Yes,4.71,5,5,5,4.71,4.71,No
Nigeria,2,2,2,2,4,4,4,4,3,4,4,4,2,2,2,2,2,2,11,11,12,12,12,12,16,16,16,16,16,16,69%,69%,75%,75%,75%,75%,Yes,No,Yes,No,Law,Law,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,3.82,3.82,3.53,3.53,3.82,4.41,Yes
Norway,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,10,Yes
Oman,ND,ND,ND,ND,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,17%,17%,17%,17%,17%,17%,ND,ND,ND,ND,None,None,none,ND,No,No,No,No,No,No,4.12,4.12,4.12,4.12,4.12,4.12,No
Pakistan,2,4,4,2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,12,12,15,15,15,13,16,16,16,16,16,16,75%,75%,94%,94%,94%,81%,Yes,Yes,Yes,No,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,5.29,5.29,5.29,5.29,5.29,5,Yes
Palestine,ND,ND,ND,ND,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,Draft law,Draft law,none,nonpublic,Yes,No,Yes,No,Yes,No,3.82,3.82,3.82,3.82,3.82,3.82,No
Panama,ND,ND,ND,ND,4,4,4,4,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,12,12,12,12,12,12,83%,83%,83%,83%,83%,83%,ND,ND,ND,ND,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,8.82,8.82,8.82,8.82,8.82,8.53,Yes
Papua New Guinea,2,4,2,4,1,3,3,3,2,2,2,2,4,4,4,4,4,4,9,9,13,13,11,13,16,16,16,16,16,16,56%,56%,81%,81%,69%,81%,Yes,No,Yes,Yes,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,8.24,8.24,8.24,8.24,7.65,7.65,Yes
Paraguay,ND,ND,ND,ND,3,3,4,4,3,2,2,2,4,4,4,4,4,4,10,10,9,9,10,10,12,12,12,12,12,12,83%,83%,75%,75%,83%,83%,ND,ND,ND,ND,Law,Law,congress,public,Yes,No,Yes,No,Yes,No,8.24,8.24,8.24,8.24,8.24,7.94,Yes
Peru,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,14,14,16,16,16,16,16,16,16,16,16,16,88%,88%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,8.24,8.53,8.53,8.24,Yes
Philippines,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,15,15,15,15,15,16,16,16,16,16,16,16,94%,94%,94%,94%,94%,100%,Yes,Yes,Yes,Yes,Constitutional right,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,8.24,Yes
Poland,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,15,15,16,16,16,16,16,16,16,16,16,16,94%,94%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,8.24,No
Portugal,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,9.41,No
Qatar,ND,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,12,12,16,16,16,16,17%,17%,13%,13%,13%,13%,No,No,No,No,None,None,none,ND,No,No,No,No,No,No,4.41,4.12,4.12,4.12,4.12,4.12,No
Romania,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,8.24,8.24,8.53,8.24,Yes
Russia,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,2,13,13,14,14,14,14,16,16,16,16,16,16,81%,81%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,4.71,4.71,4.41,4.12,3.53,3.53,No
Rwanda,2,0,4,4,1,4,4,4,2,2,2,2,2,2,2,2,2,2,7,7,8,8,12,12,16,16,16,16,16,16,44%,44%,50%,50%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,4.12,4.12,4.12,3.82,3.82,2.94,No
Samoa,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,none,No,No,No,No,No,No,ND,ND,ND,ND,ND,ND,No
Sao Tome and Principe,0,2,2,2,0,0,0,0,3,2,2,2,ND,ND,ND,ND,ND,ND,3,3,4,4,4,4,16,16,16,16,16,16,19%,19%,25%,25%,25%,25%,Yes,No,Yes,No,None,None,congress,public,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,16,16,16,16,16,16,6%,6%,6%,6%,6%,6%,No,No,No,No,None,None,none,ND,No,No,No,No,No,No,1.47,1.76,1.47,1.47,1.47,1.47,No
Senegal,2,2,2,4,0,3,3,3,0,2,2,2,3,3,3,3,3,3,5,5,10,10,10,12,16,16,16,16,16,16,31%,31%,63%,63%,63%,75%,Yes,No,Yes,Yes,Constitutional right,Constitutional right,none,none,Yes,No,Yes,No,Yes,No,6.18,6.18,6.76,7.06,7.06,7.06,No
Serbia,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,14,14,15,15,15,15,16,16,16,16,16,16,88%,88%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,congress,public***********,Yes,Yes,Yes,Yes,Yes,Yes,7.35,7.35,7.35,7.35,7.35,7.06,Yes
Seychelles,ND,ND,ND,ND,ND,3,3,3,0,2,2,2,ND,ND,ND,ND,ND,ND,0,0,5,5,5,5,12,12,12,12,12,12,0%,0%,42%,42%,42%,42%,ND,ND,ND,ND,Constitutional right,Constitutional right,ND,none,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Sierra Leone,ND,4,4,4,1,4,4,4,0,2,2,2,3,3,3,3,3,3,4,4,13,13,13,13,12,12,16,16,16,16,33%,33%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Law,Law,none,none,Yes,No,Yes,No,Yes,No,5.29,5.29,5.29,5.29,5.29,5.29,Yes
Singapore,ND,ND,ND,ND,0,0,0,0,2,2,2,2,3,3,3,3,3,3,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,None,None,congress,ND,Yes,No,Yes,No,Yes,No,7.35,7.35,7.35,7.35,7.06,7.35,No
Slovak Republic,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,14,16,16,16,16,16,16,16,16,16,16,88%,88%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,8.53,Yes
Slovenia,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,14,14,16,16,16,16,16,16,16,16,16,16,88%,88%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,congress,ND,Yes,Yes,Yes,Yes,Yes,Yes,8.82,8.82,8.82,8.82,8.82,8.53,No
Solomon Islands,ND,ND,ND,ND,ND,1,1,1,2,2,2,2,ND,ND,ND,ND,ND,ND,2,2,3,3,3,3,12,12,12,12,12,12,17%,17%,25%,25%,25%,25%,ND,ND,ND,ND,Draft law,Draft law,congress,nonpublic,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Somalia,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,none,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
South Africa,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.53,8.53,8.53,8.53,8.53,7.94,Yes
Spain,4,4,2,2,1,4,4,4,3,4,4,4,4,4,4,4,4,4,12,12,16,16,14,14,16,16,16,16,16,16,75%,75%,100%,100%,88%,88%,Yes,No,Yes,No,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,9.41,Yes
Sri Lanka,4,4,2,2,1,0,3,4,2,4,4,4,4,4,3,3,3,3,11,11,11,11,12,13,16,16,16,16,16,16,69%,69%,69%,69%,75%,81%,Yes,No,Yes,No,Constitutional right,Law,congress,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,8.24,7.94,5.88,5.59,5.59,5.88,Yes
Saint Kitts and Nevis,ND,ND,ND,ND,1,1,1,1,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,3,1,1,1,1,12,12,12,12,12,12,25%,25%,8%,8%,8%,8%,ND,ND,ND,ND,Draft law,Draft law,ND,nonpublic,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Saint Lucia,ND,ND,ND,ND,ND,1,1,1,2,2,2,2,ND,ND,ND,ND,ND,ND,2,2,3,3,3,3,12,12,12,12,12,12,17%,17%,25%,25%,25%,25%,ND,ND,ND,ND,Draft law,Draft law,congress,nonpublic,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Sudan,2,ND,0,0,1,1,4,4,0,2,2,2,1,1,1,1,1,1,4,4,4,4,7,7,16,16,12,12,16,16,25%,25%,33%,33%,44%,44%,No,No,No,No,Law,Law,none,none,Yes,No,Yes,No,Yes,No,2.35,1.76,1.76,1.47,1.47,1.18,No
Suriname,ND,ND,ND,ND,1,1,1,1,0,0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,Draft law,Draft law,none,none,No,No,No,No,No,No,8.24,8.24,8.24,8.24,8.24,8.24,No
Swaziland,ND,ND,ND,ND,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,Draft law,Draft law,congress,none,Yes,No,Yes,No,Yes,No,4.12,4.12,3.82,3.82,3.82,3.53,No
Sweden,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,9.41,Yes
Switzerland,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,none,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,9.41,No
Syria,ND,ND,ND,ND,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,8%,8%,8%,8%,8%,8%,ND,ND,ND,ND,None,None,none,none,No,No,No,No,No,No,1.76,0.29,0,0,0,0,No
Tajikistan,ND,0,2,2,4,4,4,4,0,2,2,2,1,1,1,1,1,1,5,5,7,7,9,9,12,12,16,16,16,16,42%,42%,44%,44%,56%,56%,Yes,No,Yes,No,Law,Law,none,none,Yes,No,Yes,No,Yes,No,1.47,1.47,1.47,1.47,1.47,0.88,No
Tanzania,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,12,12,12,12,12,12,16,16,16,16,16,16,75%,75%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,5.29,5.29,5.59,5.59,5.59,5,Yes
